Month,Site,Quadrat,Image.Name,Coral.ID,Longest.cm,Bleaching
March,1,27,_MCR0342,L1Q27C01,NA,2
March,1,27,_MCR0342,L1Q27C03,NA,0
March,1,27,_MCR0342,L1Q27C04,NA,2
March,1,27,_MCR0342,L1Q27C05,NA,2
March,1,27,_MCR0342,L1Q27C08,NA,0
March,1,27,_MCR0342,L1Q27C09,NA,2
March,1,27,_MCR0342,L1Q27C10,NA,0
March,1,27,_MCR0342,L1Q27C11,NA,2
March,1,27,_MCR0342,L1Q27C12,NA,1
March,1,27,_MCR0342,L1Q27C13,NA,0
March,1,27,_MCR0342,L1Q27C14,NA,1
March,1,27,_MCR0342,L1Q27C15,NA,1
March,1,27,_MCR0342,L1Q27C16,NA,1
March,1,28,_MCR0343,L1Q28C01,NA,1
March,1,28,_MCR0343,L1Q28C04,NA,0
March,1,28,_MCR0343,L1Q28C05,NA,3
March,1,28,_MCR0343,L1Q28C08,NA,0
March,1,28,_MCR0343,L1Q28C09,NA,1
March,1,28,_MCR0343,L1Q28C10,NA,1
March,1,28,_MCR0343,L1Q28C11,NA,1
March,1,28,_MCR0343,L1Q28C12,NA,0
March,1,28,_MCR0343,L1Q28C13,NA,0
March,1,28,_MCR0343,L1Q28C14,NA,0
March,1,28,_MCR0343,L1Q28C15,NA,0
March,1,29,_MCR0344,L1Q29C01,NA,1
March,1,29,_MCR0344,L1Q29C02,NA,0
March,1,29,_MCR0344,L1Q29C03,NA,0
March,1,29,_MCR0344,L1Q29C04,NA,0
March,1,29,_MCR0344,L1Q29C05,NA,0
March,1,29,_MCR0344,L1Q29C07,NA,2
March,1,29,_MCR0344,L1Q29C08,NA,2
March,1,29,_MCR0344,L1Q29C09,NA,0
March,1,29,_MCR0344,L1Q29C10,NA,1
March,1,29,_MCR0344,L1Q29C11,NA,2
March,1,29,_MCR0344,L1Q29C12,NA,0
March,1,29,_MCR0344,L1Q29C13,NA,0
March,1,29,_MCR0344,L1Q29C14,NA,0
March,1,29,_MCR0344,L1Q29C16,NA,3
March,1,29,_MCR0344,L1Q29C17,NA,0
March,1,29,_MCR0344,L1Q29C20,NA,1
March,1,29,_MCR0344,L1Q29C21,NA,2
March,1,29,_MCR0344,L1Q29C22,NA,0
March,1,29,_MCR0344,L1Q29C23,NA,0
March,1,29,_MCR0344,L1Q29C24,NA,0
March,1,29,_MCR0344,L1Q29C25,NA,0
March,1,29,_MCR0344,L1Q29C26,NA,0
March,1,29,_MCR0344,L1Q29C27,NA,1
March,1,30,_MCR0345,L1Q30C01,NA,0
March,1,30,_MCR0345,L1Q30C02,NA,0
March,1,30,_MCR0345,L1Q30C03,NA,1
March,1,30,_MCR0345,L1Q30C04,NA,1
March,1,30,_MCR0345,L1Q30C05,NA,0
March,1,30,_MCR0345,L1Q30C07,NA,2
March,1,30,_MCR0345,L1Q30C08,NA,0
March,1,30,_MCR0345,L1Q30C09,NA,0
March,1,30,_MCR0345,L1Q30C10,NA,0
March,1,30,_MCR0345,L1Q30C11,NA,0
March,1,30,_MCR0345,L1Q30C13,NA,0
March,1,30,_MCR0345,L1Q30C18,NA,1
March,1,30,_MCR0345,L1Q30C19,NA,0
March,1,30,_MCR0345,L1Q30C20,NA,1
March,1,31,_MCR0347,L1Q31C01,NA,2
March,1,31,_MCR0347,L1Q31C02,NA,0
March,1,31,_MCR0347,L1Q31C03,NA,0
