"OBJECTID","Eradication ID","Common Name","Scientific Name","Type (Animal)","Year of Introduction","Data Quality","Eradication Start Date","Eradication End Date","Status (Eradication)","Type (Eradication)","Primary Eradication Method","Secondary Eradication Method","Tertiary Eradication Method","Primary Baiting Method","Secondary Baiting Method","Primary Toxicant","Secondary Toxicant","Contact Name","Contact Organization","Organization_Website","Island Code","Island Name","Region","Country","Archipelago","Latitude","Longitude","Area (sq km)","Human Population"
"135","161","Black Rat","Rattus rattus","Rodent","1800","Satisfactory","null","null","Planned","Whole Island","Toxicant","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Pascal; Michel","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","338891","Le Predour","Pacific Ocean - South West","New Caledonia","New Caledonia Islands","-21.977837435","165.9910785","7.9320510314","None"
"136","162","Black Rat","Rattus rattus","Rodent","null","Good","null","2004","Failed","Whole Island","Toxicant","Trapping","NA","Bait Station","NA","Unknown","NA","null","null","null","241517","Cézembre","Atlantic Ocean - North","France","null","48.6765362872","-2.07172033","0.131458668358","None"
"137","166","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","Ghestemme Thomas","SOP Manu","null","358833","Taere'ere","Pacific Ocean - South East","French Polynesia","Tuamotu Archipelago (Rangiroa)","-15.1946094983","-147.840396614","0.0365684085143","None"
"150","184","Black Rat","Rattus rattus","Rodent","1940","Good","1994","1997","Successful","Whole Island","Toxicant","Trapping","NA","Bait Station","Other","Brodifacoum","Bromethalin","Flint; Beth","US Fish and Wildlife Service","null","31194","Sand","Pacific Ocean - North East","United States","Hawaiian Islands (Midway Atoll)","28.2077751503","-177.37893301","4.44386983759","11 - 100"
"151","185","Black Rat","Rattus rattus","Rodent","1940","Satisfactory","1993","1994","Successful","Whole Island","Toxicant","Trapping","NA","Bait Station","Other","Brodifacoum","Bromethalin","Flint; Beth","US Fish and Wildlife Service","null","27090","Eastern","Pacific Ocean - North East","United States","Hawaiian Islands (Midway Atoll)","28.2095511293","-177.33145352","1.37602397875","None"
"152","186","Black Rat","Rattus rattus","Rodent","null","Good","2002","2004","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Difenacoum","Bromadiolone","Bell; Biz","National Trust; RSPB; English Nature; Wildlife Management International Limited","null","242171","Lundy","Atlantic Ocean - North","United Kingdom","Bristol Channel","51.1779488741","-4.66958038","4.3157852949","11 - 100"
"153","187","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","null","1993","Successful","Whole Island","Toxicant","Trapping","NA","Hand Broadcast","NA","Brodifacoum","Bromethalin","Murphy; Jim","USDA","null","31119","Green","Pacific Ocean - North East","United States","Hawaiian Islands (Kure Atoll)","28.3929558892","-178.294081644","0.913816284614","None"
"154","188","Black Rat","Rattus rattus","Rodent","null","Poor","2002","2002","Successful","Whole Island","Toxicant","Trapping","NA","Bait Station","NA","Diphacinone","NA","null","null","null","400130","Mokolii","Pacific Ocean - North East","United States","Hawaiian Islands","21.5096009897","-157.82943998","0.0193283244002","None"
"156","190","Black Rat","Rattus rattus","Rodent","null","Good","1995","1995","Successful","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","Daltry; Jenny","Flora and Fauna International","null","386024","Great Bird","Caribbean","Antigua and Barbuda","Lesser Antilles (Antigua and Barbuda Islands)","17.145569821","-61.72491686","0.0801387563021","None"
"157","191","Black Rat","Rattus rattus","Rodent","null","Good","2001","2001","Successful","Incursion Response","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","Daltry; Jenny","Flora and Fauna International","null","386024","Great Bird","Caribbean","Antigua and Barbuda","Lesser Antilles (Antigua and Barbuda Islands)","17.145569821","-61.72491686","0.0801387563021","None"
